Day,Date,New Visitor,Returning Visitor
Monday,1/1/2018,9,36
Tuesday,1/2/2018,48,217
Wednesday,1/3/2018,6008,3094
Thursday,1/4/2018,6202,3455
Friday,1/5/2018,4619,3190
Saturday,1/6/2018,3569,1713
Sunday,1/7/2018,3801,2146
Monday,1/8/2018,5378,4394
Tuesday,1/9/2018,5182,4443
Wednesday,1/10/2018,4698,4188
Thursday,1/11/2018,5244,4308
Friday,1/12/2018,4068,3815
Saturday,1/13/2018,3105,2234
Sunday,1/14/2018,3163,2672
Monday,1/15/2018,3931,3734
Tuesday,1/16/2018,4757,5700
Wednesday,1/17/2018,4977,6143
Thursday,1/18/2018,5370,5212
Friday,1/19/2018,17,370
Saturday,1/20/2018,3,123
Sunday,1/21/2018,2,124
Monday,1/22/2018,3620,4131
Tuesday,1/23/2018,4656,5071
Wednesday,1/24/2018,4350,5326
Thursday,1/25/2018,4361,4974
Friday,1/26/2018,4578,4824
Saturday,1/27/2018,2923,2548
Sunday,1/28/2018,3259,3530
Monday,1/29/2018,4874,6051
Tuesday,1/30/2018,4483,5813
Wednesday,1/31/2018,4779,6418
Thursday,2/1/2018,4963,6221
Friday,2/2/2018,3700,4537
Saturday,2/3/2018,3678,2624
Sunday,2/4/2018,2690,2970
Monday,2/5/2018,4453,6221
Tuesday,2/6/2018,4109,5363
Wednesday,2/7/2018,4143,5610
Thursday,2/8/2018,4246,5055
Friday,2/9/2018,3747,4437
Saturday,2/10/2018,3163,2523
Sunday,2/11/2018,2904,3218
Monday,2/12/2018,4064,5504
Tuesday,2/13/2018,3799,5123
Wednesday,2/14/2018,3379,4296
Thursday,2/15/2018,3830,4704
Friday,2/16/2018,3416,4133
Saturday,2/17/2018,2746,2192
Sunday,2/18/2018,2493,2637
Monday,2/19/2018,3237,3733
Tuesday,2/20/2018,3961,5488
Wednesday,2/21/2018,4371,5766
Thursday,2/22/2018,4190,5216
Friday,2/23/2018,3914,4845
Saturday,2/24/2018,3381,2864
Sunday,2/25/2018,2981,3443
Monday,2/26/2018,4442,6041
Tuesday,2/27/2018,4178,5609
Wednesday,2/28/2018,4024,5719
Thursday,3/1/2018,3774,5339
Friday,3/2/2018,1571,2153
Saturday,3/3/2018,3069,2348
Sunday,3/4/2018,2941,3044
Monday,3/5/2018,5078,5432
Tuesday,3/6/2018,5621,5244
Wednesday,3/7/2018,4421,5288
Thursday,3/8/2018,4004,5394
Friday,3/9/2018,3592,4073
Saturday,3/10/2018,3494,2127
Sunday,3/11/2018,3543,2262
Monday,3/12/2018,4590,4203
Tuesday,3/13/2018,4928,4187
Wednesday,3/14/2018,5751,4975
Thursday,3/15/2018,8988,5165
Friday,3/16/2018,6460,4494
Saturday,3/17/2018,38707,4943
Sunday,3/18/2018,7525,6661
Monday,3/19/2018,6616,8192
Tuesday,3/20/2018,6006,7455
Wednesday,3/21/2018,5565,6858
Thursday,3/22/2018,13616,6725
Friday,3/23/2018,5921,6249
Saturday,3/24/2018,3781,3224
Sunday,3/25/2018,3631,4054
Monday,3/26/2018,4567,7176
Tuesday,3/27/2018,4377,7681
Wednesday,3/28/2018,4106,7023
Thursday,3/29/2018,3647,5419
